trialnumber,givenResponse,reactionTime,correct,word,stimulusType,correctResponse
348,new,1454.5449999999837,1,parry,new,new
349,new,1248.6849999999977,1,ripped,new,new
350,new,703.5,1,tang,new,new
351,new,999.5,0,lawyer,old,old
352,new,559.4049999999697,1,mason,new,new
353,new,574.0099999999511,1,hopping,new,new
354,old,778.359999999986,1,health,old,old
355,old,722.1849999999395,1,nurse,old,old
356,new,1279.875,0,clinic,old,old
357,old,663.0599999999977,1,dentist,old,old
358,old,692.5900000000256,1,hospital,old,old
359,old,624.125,1,ill,old,old
360,old,952.3449999999721,1,medicine,old,old
361,new,684.3150000000023,1,venom,new,new
362,new,606.4749999999767,1,briefly,new,new
363,new,530.320000000007,0,sick,old,old
364,old,705.4649999999674,1,surgeon,old,old
365,new,738.8700000000536,1,dove,new,new
366,new,726.7799999999697,1,anchor,new,new
367,old,1294.0650000000023,1,office,old,old
368,new,802.3949999999604,0,cure,old,old
384,old,1701.5050000000047,1,chilly,old,old
385,new,805.5050000000047,1,meters,new,new
386,old,723.2849999999162,1,wet,old,old
387,old,733.3499999999767,1,Arctic,old,old
388,new,731.1849999999395,1,leased,new,new
389,old,743.4800000000978,1,frigid,old,old
390,new,892.4049999999115,1,slick,new,new
391,old,1156.6749999999302,1,shiver,old,old
392,new,619.8549999999814,1,basics,new,new
393,new,783.5999999999767,1,dilemma,new,new
394,new,2252.6999999999534,1,termed,new,new
395,old,663.8950000000186,0,cold,lure,new
396,new,640.2500000001164,1,vessels,new,new
397,new,652.7800000000279,1,retreat,new,new
398,new,905.2149999999674,1,mouths,new,new
399,new,552.5400000000373,1,fungi,new,new
400,old,670.7149999999674,1,ice,old,old
401,new,707.1549999999115,1,redwood,new,new
402,new,1303.3850000001257,1,prom,new,new
403,new,586.375,1,preview,new,new
404,old,579.7399999999907,1,hot,old,old
405,old,787.4649999999674,1,weather,old,old
406,old,644.2750000000233,1,snow,old,old
407,old,597.1999999999534,1,warm,old,old
408,old,604.3300000000745,1,winter,old,old
409,old,753.265000000014,1,freeze,old,old
410,new,1491.5550000000512,0,frost,old,old
411,new,1291.329999999958,1,imagery,new,new
412,new,1188.359999999986,1,thicker,new,new
413,new,667.8899999998976,0,air,old,old
414,old,625.7699999999022,1,heat,old,old
430,old,2899.5,1,sedan,old,old
431,new,1077.655000000028,0,race,old,old
432,new,2355.6350000000093,1,opens,new,new
433,old,730.140000000014,1,garage,old,old
434,new,1446.1650000000373,0,van,old,old
435,new,610.015000000014,1,primal,new,new
436,new,558.9149999999208,1,leaned,new,new
437,new,506.30999999993946,1,grammar,new,new
438,new,815.2249999999767,0,train,old,old
439,new,537.0799999999581,1,puck,new,new
440,new,743.1600000000326,1,beef,new,new
441,new,556.5099999998929,1,Laurie,new,new
442,new,711.0550000000512,1,pioneer,new,new
443,new,698.4499999999534,1,tails,new,new
444,old,683.5300000000279,1,keys,old,old
445,old,724.6900000000605,1,drive,old,old
446,old,579.9450000000652,1,vehicle,old,old
447,new,671.2800000000279,1,climbed,new,new
448,new,773.6499999999069,1,drums,new,new
449,old,1058.1949999999488,1,taxi,old,old
450,old,648.0400000000373,1,jeep,old,old
451,new,679.1000000000931,1,parks,new,new
452,new,748.8450000000885,1,kite,new,new
453,new,641.890000000014,1,melting,new,new
454,new,449.2300000000978,1,rebate,new,new
455,new,529.8100000000559,0,highway,old,old
456,old,1305.5050000000047,1,automobile,old,old
457,old,1071.5100000000093,1,bus,old,old
458,old,734.1150000001071,1,truck,old,old
459,old,708.875,1,Ford,old,old
460,new,980.8899999998976,1,car,lure,new
